epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1731.3,0.64386,0.74653,0.00869,0.82115,0.83336,0.84462,0.76098,0.52178,0.66059,0.01011,0.001054,0.001054,0.001054
45,1774.68,0.64226,0.73181,0.0077,0.82447,0.80431,0.84169,0.74291,0.56975,0.69809,0.01069,0.001032,0.001032,0.001032
46,1814.18,0.64798,0.7354,0.0082,0.8209,0.7637,0.8228,0.71863,0.61591,0.75628,0.01252,0.00101,0.00101,0.00101
47,1851.79,0.60855,0.71368,0.00751,0.8462,0.7774,0.83777,0.75819,0.52704,0.68147,0.00931,0.000988,0.000988,0.000988
48,1889.55,0.61137,0.7057,0.00761,0.80667,0.77397,0.82365,0.73128,0.56033,0.71424,0.01071,0.000966,0.000966,0.000966
49,1926.84,0.58326,0.65333,0.00744,0.82836,0.79795,0.83467,0.75955,0.51202,0.6695,0.00934,0.000944,0.000944,0.000944
50,1964.55,0.59554,0.70963,0.00723,0.84621,0.81164,0.83976,0.76763,0.48406,0.69352,0.00819,0.000922,0.000922,0.000922
51,2002.76,0.57255,0.64937,0.00756,0.85376,0.77975,0.83292,0.73731,0.57667,0.7144,0.01193,0.0009,0.0009,0.0009
52,2040.6,0.59888,0.70903,0.00731,0.8026,0.80762,0.82911,0.75772,0.49513,0.71994,0.00846,0.000878,0.000878,0.000878
53,2078.32,0.5607,0.63611,0.00694,0.83037,0.82144,0.84405,0.77885,0.49085,0.6507,0.00868,0.000856,0.000856,0.000856
54,2116.35,0.5681,0.67628,0.00676,0.87374,0.77055,0.85355,0.78696,0.46259,0.64748,0.00773,0.000834,0.000834,0.000834
55,2154.36,0.55094,0.62256,0.00689,0.86677,0.80207,0.84866,0.77885,0.49801,0.65327,0.00897,0.000812,0.000812,0.000812
56,2192.23,0.56928,0.67735,0.00739,0.87903,0.77148,0.85352,0.77001,0.52067,0.64175,0.01012,0.00079,0.00079,0.00079
57,2230.17,0.53788,0.60609,0.00653,0.86263,0.82192,0.85138,0.78554,0.47929,0.66242,0.00899,0.000768,0.000768,0.000768
58,2268.08,0.53858,0.6132,0.00686,0.86442,0.78767,0.85172,0.79063,0.46231,0.66199,0.00818,0.000746,0.000746,0.000746
59,2306.44,0.5224,0.59339,0.00679,0.79121,0.83219,0.85408,0.80246,0.42109,0.65353,0.00744,0.000724,0.000724,0.000724
60,2348.4,0.5171,0.57619,0.00592,0.86886,0.79414,0.85538,0.801,0.4441,0.62291,0.00744,0.000702,0.000702,0.000702
61,2386.44,0.52279,0.59091,0.00615,0.87025,0.81164,0.8731,0.81558,0.41116,0.58837,0.00685,0.00068,0.00068,0.00068
62,2425.77,0.53456,0.59089,0.00619,0.89708,0.80593,0.88073,0.82409,0.42515,0.5222,0.00781,0.000658,0.000658,0.000658
63,2469.56,0.48507,0.60471,0.00572,0.86384,0.7911,0.86345,0.80607,0.43034,0.63082,0.00811,0.000636,0.000636,0.000636
64,2507.46,0.51077,0.60005,0.0059,0.85486,0.83219,0.87237,0.81925,0.39131,0.5501,0.0066,0.000614,0.000614,0.000614
65,2545.31,0.4785,0.53156,0.00561,0.8335,0.84002,0.87848,0.82885,0.38441,0.57693,0.00622,0.000592,0.000592,0.000592
66,2588.86,0.50026,0.59542,0.00571,0.84962,0.79327,0.86818,0.82219,0.40184,0.62996,0.00691,0.00057,0.00057,0.00057
67,2626.47,0.48839,0.5885,0.00577,0.82069,0.83562,0.87345,0.81528,0.39187,0.60796,0.00654,0.000548,0.000548,0.000548
68,2664.17,0.47046,0.54791,0.00548,0.90352,0.78082,0.87704,0.82807,0.39391,0.60753,0.00651,0.000526,0.000526,0.000526
69,2701.89,0.45396,0.56237,0.00541,0.87545,0.80137,0.8734,0.8212,0.39137,0.59299,0.00661,0.000504,0.000504,0.000504
70,2739.8,0.45334,0.51292,0.0053,0.86425,0.82852,0.8663,0.82164,0.39131,0.57036,0.00661,0.000482,0.000482,0.000482
71,2777.83,0.47027,0.53271,0.00545,0.85338,0.80479,0.86399,0.81934,0.3556,0.59013,0.00581,0.00046,0.00046,0.00046
72,2815.51,0.43775,0.48389,0.00527,0.85095,0.81164,0.87017,0.82777,0.35695,0.59306,0.00592,0.000438,0.000438,0.000438
73,2853.06,0.45287,0.53832,0.00597,0.84765,0.82192,0.86607,0.81716,0.37985,0.57546,0.00681,0.000416,0.000416,0.000416
74,2890.8,0.43833,0.48491,0.00549,0.84137,0.7992,0.86696,0.82614,0.36087,0.58529,0.00609,0.000394,0.000394,0.000394
75,2928.87,0.42465,0.49465,0.00479,0.81464,0.82779,0.86198,0.81109,0.40014,0.60629,0.00662,0.000372,0.000372,0.000372
76,2966.81,0.41846,0.47198,0.00472,0.83343,0.82192,0.86413,0.81753,0.36786,0.60682,0.00641,0.00035,0.00035,0.00035
77,3004.59,0.43893,0.48719,0.00468,0.80806,0.84247,0.86937,0.83003,0.35978,0.59108,0.00623,0.000328,0.000328,0.000328
78,3042.59,0.41003,0.48907,0.00463,0.86164,0.78767,0.8752,0.83325,0.36767,0.59715,0.00626,0.000306,0.000306,0.000306
79,3087.8,0.4082,0.43571,0.00452,0.82333,0.82993,0.86664,0.82568,0.37414,0.60294,0.00625,0.000284,0.000284,0.000284
80,3126.62,0.43016,0.51098,0.00465,0.85527,0.78926,0.86575,0.82893,0.34102,0.60774,0.0054,0.000262,0.000262,0.000262
81,3165.48,0.40434,0.423,0.00828,0.84966,0.80137,0.86829,0.8254,0.37694,0.61698,0.00639,0.00024,0.00024,0.00024
82,3208.12,0.40426,0.42034,0.0092,0.86275,0.79649,0.86784,0.82367,0.37457,0.6287,0.00633,0.000218,0.000218,0.000218
83,3250.09,0.39392,0.38701,0.00804,0.88882,0.79399,0.86606,0.82665,0.35093,0.61563,0.00591,0.000196,0.000196,0.000196
84,3293.02,0.35903,0.38989,0.00656,0.8989,0.79171,0.86966,0.83128,0.33781,0.59944,0.00537,0.000174,0.000174,0.000174
85,3336.07,0.35073,0.38076,0.0062,0.86963,0.79452,0.86394,0.8243,0.35542,0.602,0.00608,0.000152,0.000152,0.000152
86,3378.01,0.36976,0.37032,0.0069,0.85107,0.80236,0.86746,0.82658,0.34231,0.60908,0.00568,0.00013,0.00013,0.00013
87,3420.37,0.33871,0.36121,0.00649,0.81798,0.83904,0.86411,0.8262,0.33804,0.60856,0.00578,0.000108,0.000108,0.000108
88,3458.04,0.35168,0.38885,0.00637,0.83358,0.82341,0.86354,0.8287,0.33052,0.61862,0.00564,8.6e-05,8.6e-05,8.6e-05
89,3501.44,0.32177,0.38872,0.00606,0.85851,0.80479,0.86419,0.83277,0.32037,0.61725,0.00512,6.4e-05,6.4e-05,6.4e-05
90,3543.54,0.3316,0.3267,0.00614,0.8182,0.84247,0.86191,0.83051,0.32109,0.62892,0.0052,4.2e-05,4.2e-05,4.2e-05
